Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71920701,1,"Saturday, January 12, 2013 19:43:18 UTC",38.7865,-122.763,1.5,1.1,27,Northern California
nc,71920696,0,"Saturday, January 12, 2013 19:37:01 UTC",40.3742,-122.112,1.5,10.6,9,Northern California
nc,71920686,1,"Saturday, January 12, 2013 19:30:50 UTC",38.8083,-122.8227,1.2,2.3,24,Northern California
ci,15272537,0,"Saturday, January 12, 2013 19:07:32 UTC",33.3733,-117.1703,1.3,14.4,17,Southern California
ak,10637537,1,"Saturday, January 12, 2013 18:49:24 UTC",60.6897,-141.662,1.9,32.4,12,Southern Alaska
ak,10637523,2,"Saturday, January 12, 2013 18:42:52 UTC",61.6978,-147.0048,3,20.1,63,Southern Alaska
ci,15272529,0,"Saturday, January 12, 2013 18:33:53 UTC",33.5647,-117.4513,1.9,0,13,Southern California
nc,71920666,1,"Saturday, January 12, 2013 18:27:16 UTC",38.8215,-122.7937,1.4,3.1,34,Northern California
ak,10637498,1,"Saturday, January 12, 2013 17:54:12 UTC",60.9345,-152.0231,2.1,77.8,12,Southern Alaska
